Number,Spanish Word,Spanish Sentence,English Word,English Sentence
16,alta,"El seor Dursley canturreaba mientras se pona su corbata ms sosa para ir al trabajo, y la seora Dursley parloteaba alegremente mientras instalaba al ruidoso Dudley en la silla alta.",[alta in English],[English translation]
17,alto,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[alto in English],[English translation]
18,alto,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[alto in English],[English translation]
19,amplia,"Al contrario, su rostro se ilumin con una amplia sonrisa, mientras deca con una voz tan chillona que llamaba la atencin de los que pasaban: No se disculpe, mi querido seor, porque hoy nada puede molestarme!",[amplia in English],[English translation]
20,anaranjado,"Lo hizo funcionar una vez y todas las luces de la calle se encendieron, de manera que Privet Drive se ilumin con un resplandor anaranjado, y pudo ver a un gato atigrado que se escabulla por una esquina, en el otro extremo de la calle.",[anaranjado in English],[English translation]
21,ancho,Era dos veces ms alto que un hombre normal y al menos cinco veces ms ancho.,[ancho in English],[English translation]
22,anciano,Y el anciano abraz al seor Dursley y se alej.,[anciano in English],[English translation]
23,aos,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[aos in English],[English translation]
24,aparato,"Dej el aparato y se atus los bigotes mientras pensaba No, se estaba comportando como un estpido.",[aparato in English],[English translation]
25,aparcamiento,"El trfico avanz y, unos minutos ms tarde, el seor Dursley lleg al aparcamiento de Grunnings, pensando nuevamente en los taladros.",[aparcamiento in English],[English translation]
26,apartados,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[apartados in English],[English translation]
27,apellido,Potter no era un apellido tan especial.,[apellido in English],[English translation]
28,apesadumbrado,"Dumbledore asinti con la cabeza, apesadumbrado.",[apesadumbrado in English],[English translation]
29,aprendido,"Mientras coman, le inform de los problemas de la seora Puerta Contigua con su hija, y le cont que Dudley haba aprendido una nueva frase (no lo har!).",[aprendido in English],[English translation]
30,apropiado,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[apropiado in English],[English translation]
31,aqu,"Me alegro de verla aqu, profesora McGonagall.",[aqu in English],[English translation]
32,aqul,El nio era otra buena razn para mantener alejados a los Potter: no queran que Dudley se juntara con un nio como aqul.,[aqul in English],[English translation]
33,aqulla,El seor Dursley se pregunt si aqulla era una conducta normal en un gato.,[aqulla in English],[English translation]
34,asombrosas,Aqul era el ltimo lugar donde uno esperara que ocurrieran cosas asombrosas.,[asombrosas in English],[English translation]
35,asombroso,"Es asombroso entre todas las cosas que podran detenerlo Pero cmo sobrevivi Harry, en nombre del cielo?",[asombroso in English],[English translation]
36,aspecto,Lechuzas estrellas fugaces y hoy haba en la ciudad una cantidad de gente con aspecto raro Y qu?,[aspecto in English],[English translation]
37,atencin,"Al contrario, su rostro se ilumin con una amplia sonrisa, mientras deca con una voz tan chillona que llamaba la atencin de los que pasaban: No se disculpe, mi querido seor, porque hoy nada puede molestarme!",[atencin in English],[English translation]
38,aterriz,"Aument hasta ser un rugido mientras los dos miraban hacia el cielo, y entonces una pesada moto cay del aire y aterriz en el camino, frente a ellos.",[aterriz in English],[English translation]
39,atigrado,"S haba un gato atigrado en la esquina de Privet Drive, pero no vio ningn plano.",[atigrado in English],[English translation]
40,aullido,"Entonces, sbitamente, Hagrid dej escapar un aullido, como si fuera un perro herido.",[aullido in English],[English translation]
41,aves,"No vio las lechuzas que volaban en pleno da, aunque en la calle s que las vean y las sealaban con la boca abierta, mientras las aves desfilaban una tras otra.",[aves in English],[English translation]
42,avisos,"Pese a que las lechuzas habitualmente cazan durante la noche y es muy difcil verlas a la luz del da, se han producido cientos de avisos sobre el vuelo de estas aves en todas direcciones, desde la salida del sol.",[avisos in English],[English translation]
43,azules,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[azules in English],[English translation]
44,barba,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[barba in English],[English translation]
45,basura,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[basura in English],[English translation]
46,berrinche,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[berrinche in English],[English translation]
47,bes,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[bes in English],[English translation]
48,beso,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[beso in English],[English translation]
49,bigote,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[bigote in English],[English translation]
50,bigotes,"Dej el aparato y se atus los bigotes mientras pensaba No, se estaba comportando como un estpido.",[bigotes in English],[English translation]
51,boca,"No vio las lechuzas que volaban en pleno da, aunque en la calle s que las vean y las sealaban con la boca abierta, mientras las aves desfilaban una tras otra.",[boca in English],[English translation]
52,bolsa,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[bolsa in English],[English translation]
53,bolsillo,Encontr en su bolsillo interior lo que estaba buscando.,[bolsillo in English],[English translation]
54,boquiabierta,La profesora McGonagall se qued boquiabierta.,[boquiabierta in English],[English translation]
55,bostez,"Los Potter saban muy bien lo que l y Petunia pensaban de ellos y de los de su clase No vea cmo a l y a Petunia podran mezclarlos en algo que tuviera que ver (bostez y se dio la vuelta) No, no podra afectarlos a ellos Qu equivocado estaba!",[bostez in English],[English translation]
56,botas,"Llevaba una tnica larga, una capa color prpura que barra el suelo y botas con tacn alto y hebillas.",[botas in English],[English translation]
57,botellas,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[botellas in English],[English translation]
58,brazo,"Pero no puedo soportarlo Lily y James muertos y el pobrecito Harry tendr que vivir con muggles S, s, es todo muy triste, pero domnate, Hagrid, o van a descubrirnos susurr la profesora McGonagall, dando una palmada en un brazo de Hagrid, mientras Dumbledore pasaba sobre la verja del jardn e iba hasta la puerta que haba enfrente.",[brazo in English],[English translation]
59,brazos,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[brazos in English],[English translation]
60,brillantes,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[brillantes in English],[English translation]
61,brisa,Una brisa agit los pulcros setos de Privet Drive.,[brisa in English],[English translation]
62,bulto,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[bulto in English],[English translation]
63,cabello,Su cabello negro estaba recogido en un moo.,[cabello in English],[English translation]
64,cabeza,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[cabeza in English],[English translation]
65,calle,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[calle in English],[English translation]
66,calles,"La gente se ha vuelto completamente descuidada, sale a las calles a plena luz del da, ni siquiera se pone la ropa de los muggles, intercambia rumores Lanz una mirada cortante y de soslayo hacia Dumbledore, como si esperara que ste le contestara algo.",[calles in English],[English translation]
67,calma,Me est halagando dijo con calma Dumbledore.,[calma in English],[English translation]
68,calzados,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[calzados in English],[English translation]
69,cama,Los Dursley se fueron a la cama.,[cama in English],[English translation]
70,cambi,"Dijo a gritos a su secretaria que no quera que le molestaran, cogi el telfono y, cuando casi haba terminado de marcar los nmeros de su casa, cambi de idea.",[cambi in English],[English translation]
71,camino,"Cuando entr en el camino del nmero 4, lo primero que vio (y eso no mejor su humor) fue el gato atigrado que se haba encontrado por la maana.",[camino in English],[English translation]
72,cantidad,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[cantidad in English],[English translation]
73,capa,Individuos con capa.,[capa in English],[English translation]
74,cara,"Se poda decir que era demasiado grande para que lo aceptaran y, adems, tan desaliado Cabello negro, largo y revuelto, y una barba que le cubra casi toda la cara.",[cara in English],[English translation]
75,caramelo,Le gustara tomar un caramelo de limn?,[caramelo in English],[English translation]
76,caramelos,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[caramelos in English],[English translation]
77,caramelos,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[caramelos in English],[English translation]
78,carta,Les escrib una carta.,[carta in English],[English translation]
79,casa,"Tunante, dijo entre dientes el seor Dursley mientras sala de la casa.",[casa in English],[English translation]
80,causa,Los expertos son incapaces de explicar la causa por la que las lechuzas han cambiado sus horarios de sueo.,[causa in English],[English translation]
81,celebraciones,Debo de haber pasado por una docena de celebraciones y fiestas en mi camino hasta aqu.,[celebraciones in English],[English translation]
82,cercana,La luz ms cercana de la calle se apag con un leve estallido.,[cercana in English],[English translation]
83,cereales,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[cereales in English],[English translation]
84,chaparrn,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[chaparrn in English],[English translation]
85,chaqueta,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[chaqueta in English],[English translation]
86,choc,"Pero de todos modos, aquella gente de la capa Aquella tarde le cost concentrarse en los taladros, y cuando dej el edificio, a las cinco en punto, estaba todava tan preocupado que, sin darse cuenta, choc con un hombre que estaba en la puerta.",[choc in English],[English translation]
87,cicatrices,Las cicatrices pueden ser tiles.,[cicatrices in English],[English translation]
88,cicatriz,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relmpago.",[cicatriz in English],[English translation]
89,cielo,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[cielo in English],[English translation]
90,ciudad,Al llegar a la esquina percibi el primer indicio de que suceda algo raro: un gato estaba mirando un plano de la ciudad.,[ciudad in English],[English translation]
91,claros,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[claros in English],[English translation]
92,clase,"Los Potter saban muy bien lo que l y Petunia pensaban de ellos y de los de su clase No vea cmo a l y a Petunia podran mezclarlos en algo que tuviera que ver (bostez y se dio la vuelta) No, no podra afectarlos a ellos Qu equivocado estaba!",[clase in English],[English translation]
93,cmo,Y cmo se llamaba?,[cmo in English],[English translation]
94,coche,Se meti en su coche y se alej del nmero 4.,[coche in English],[English translation]
95,cola,La cola del gato se agit y sus ojos se entornaron.,[cola in English],[English translation]
96,colecta,Pero entonces se le ocurri que deba de ser alguna tontera publicitaria; era evidente que aquella gente haca una colecta para algo.,[colecta in English],[English translation]
97,color,"Llevaba una tnica larga, una capa color prpura que barra el suelo y botas con tacn alto y hebillas.",[color in English],[English translation]
98,comedor,"Y aquel rumor, aquel cuchicheo sobre los Potter La seora Dursley entr en el comedor con dos tazas de t.",[comedor in English],[English translation]
99,comida,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[comida in English],[English translation]
100,comparadas,Las lechuzas no son nada comparadas con los rumores que corren por ah.,[comparadas in English],[English translation]
101,completo,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[completo in English],[English translation]
102,conduca,"La moto era inmensa, pero si se la comparaba con el hombre que la conduca pareca un juguete.",[conduca in English],[English translation]
103,conducta,El seor Dursley se pregunt si aqulla era una conducta normal en un gato.,[conducta in English],[English translation]
104,confuso,Todo se volver muy confuso si seguimos diciendo Quien-usted-sabe.,[confuso in English],[English translation]
105,congelado,El seor Dursley se qued congelado en su silln.,[congelado in English],[English translation]
106,conjeturas,Slo podemos hacer conjeturas dijo Dumbledore.,[conjeturas in English],[English translation]
107,conjuntos,"Ah, los conjuntos que llevaban los jvenes!",[conjuntos in English],[English translation]
108,conseguiste,Y dnde conseguiste esa moto?,[conseguiste in English],[English translation]
109,consolador,"Su ltimo y consolador pensamiento antes de quedarse dormido fue que, aunque los Potter estuvieran implicados en los sucesos, no haba razn para que se acercaran a l y a la seora Dursley.",[consolador in English],[English translation]
110,contempl,El seor Dursley parpade y contempl al gato.,[contempl in English],[English translation]
111,continu,"Pero como no lo hizo, continu hablando.",[continu in English],[English translation]
112,contrario,"Al contrario, su rostro se ilumin con una amplia sonrisa, mientras deca con una voz tan chillona que llamaba la atencin de los que pasaban: No se disculpe, mi querido seor, porque hoy nada puede molestarme!",[contrario in English],[English translation]
113,conversacin,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[conversacin in English],[English translation]
114,copas,"Ni que iba a pasar las prximas semanas pinchado y pellizcado por su primo Dudley No poda saber tampoco que, en aquel mismo momento, las personas que se reunan en secreto por todo el pas estaban levantando sus copas y diciendo, con voces quedas: Por Harry Potter el nio que vivi!",[copas in English],[English translation]
115,corazn,No estoy diciendo que su corazn no est donde debe estar dijo a regaadientes la profesora McGonagall.,[corazn in English],[English translation]
116,corbata,"El seor Dursley canturreaba mientras se pona su corbata ms sosa para ir al trabajo, y la seora Dursley parloteaba alegremente mientras instalaba al ruidoso Dudley en la silla alta.",[corbata in English],[English translation]
117,corpulento,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[corpulento in English],[English translation]
118,cortante,No respondi en tono cortante.,[cortante in English],[English translation]
119,cosas,Hay cosas muy extraas en las noticias mascull el seor Dursley.,[cosas in English],[English translation]
120,costado,"Si no lo hubiera hecho as, aquella maana le habra costado concentrarse en los taladros.",[costado in English],[English translation]
121,costumbre,Tiene la costumbre de Qu ha sido eso?,[costumbre in English],[English translation]
122,cras,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[cras in English],[English translation]
123,crculo,Tena doce manecillas y ningn nmero; pequeos planetas se movan por el permetro del crculo.,[crculo in English],[English translation]
124,cristales,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[cristales in English],[English translation]
125,cuadrada,"En su lugar, le diriga la sonrisa a una mujer de aspecto severo que llevaba gafas de montura cuadrada, que recordaban las lneas que haba alrededor de los ojos del gato.",[cuadrada in English],[English translation]
126,cuarto,"Mientras la seora Dursley estaba en el cuarto de bao, el seor Dursley se acerc lentamente hasta la ventana del dormitorio y escudri el jardn delantero.",[cuarto in English],[English translation]
127,cubierto,"Nuestra historia comienza cuando el seor y la seora Dursley se despertaron un martes, con un cielo cubierto de nubes grises que amenazaban tormenta.",[cubierto in English],[English translation]
128,cubo,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[cubo in English],[English translation]
129,cuello,"Era un hombre corpulento y rollizo, casi sin cuello, aunque con un bigote inmenso.",[cuello in English],[English translation]
130,cuentas,"Si alguien hubiera mirado por la ventana en aquel momento, aunque fuera la seora Dursley con sus ojos como cuentas, pequeos y brillantes, no habra podido ver lo que suceda en la calle.",[cuentas in English],[English translation]
131,cuero,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[cuero in English],[English translation]
132,cuidado,"Me la han prestado, profesor Dumbledore contest el gigante, bajando con cuidado del vehculo mientras hablaba.",[cuidado in English],[English translation]
133,curiosa,"Bajo una mata de pelo negro azabache, sobre la frente, pudieron ver una cicatriz con una forma curiosa, como un relmpago.",[curiosa in English],[English translation]
134,deca,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[deca in English],[English translation]
135,decidido,Todava segua decidido a no decirle nada a su esposa.,[decidido in English],[English translation]
136,dedos,Tamborile con los dedos sobre el volante y su mirada se pos en unos extraos que estaban cerca de l.,[dedos in English],[English translation]
137,dej,"Dej el aparato y se atus los bigotes mientras pensaba No, se estaba comportando como un estpido.",[dej in English],[English translation]
138,delantero,"Mientras la seora Dursley estaba en el cuarto de bao, el seor Dursley se acerc lentamente hasta la ventana del dormitorio y escudri el jardn delantero.",[delantero in English],[English translation]
139,delfn,"Sus manos tenan el mismo tamao que las tapas del cubo de la basura y sus pies, calzados con botas de cuero, parecan cras de delfn.",[delfn in English],[English translation]
140,delgada,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[delgada in English],[English translation]
141,delgado,"Era alto, delgado y muy anciano, a juzgar por su pelo y barba plateados, tan largos que podra sujetarlos con el cinturn.",[delgado in English],[English translation]
142,desaliado,"Se poda decir que era demasiado grande para que lo aceptaran y, adems, tan desaliado Cabello negro, largo y revuelto, y una barba que le cubra casi toda la cara.",[desaliado in English],[English translation]
143,desconcertado,Estaba desconcertado.,[desconcertado in English],[English translation]
144,desconocido,Lo haba abrazado un desconocido.,[desconocido in English],[English translation]
145,desconocidos,El seor Dursley se enfureci al darse cuenta de que dos de los desconocidos no eran jvenes.,[desconocidos in English],[English translation]
146,descubrirnos,"Pero no puedo soportarlo Lily y James muertos y el pobrecito Harry tendr que vivir con muggles S, s, es todo muy triste, pero domnate, Hagrid, o van a descubrirnos susurr la profesora McGonagall, dando una palmada en un brazo de Hagrid, mientras Dumbledore pasaba sobre la verja del jardn e iba hasta la puerta que haba enfrente.",[descubrirnos in English],[English translation]
147,descuidada,"La gente se ha vuelto completamente descuidada, sale a las calles a plena luz del da, ni siquiera se pone la ropa de los muggles, intercambia rumores Lanz una mirada cortante y de soslayo hacia Dumbledore, como si esperara que ste le contestara algo.",[descuidada in English],[English translation]
148,deseado,"Se apresur a subir a su coche y a dirigirse hacia su casa, deseando que todo fueran imaginaciones suyas (algo que nunca haba deseado antes, porque no aprobaba la imaginacin).",[deseado in English],[English translation]
149,deseosa,"Pareca que la profesora McGonagall haba llegado al punto que ms deseosa estaba por discutir, la verdadera razn por la que haba esperado todo el da en una fra pared pues, ni como gato ni como mujer, haba mirado nunca a Dumbledore con tal intensidad como lo haca en aquel momento.",[deseosa in English],[English translation]
150,desgreada,"Inclin la gran cabeza desgreada sobre Harry y le dio un beso, raspndolo con la barba.",[desgreada in English],[English translation]
151,despierto,"La seora Dursley se qued dormida rpidamente, pero el seor Dursley permaneci despierto, con todo aquello dando vueltas por su mente.",[despierto in English],[English translation]
152,despreocupado,"En lugar de eso, dijo, tratando de parecer despreocupado: El hijo de ellos debe de tener la edad de Dudley, no?",[despreocupado in English],[English translation]
153,despus,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[despus in English],[English translation]
154,destruida,"La casa estaba casi destruida, pero lo saqu antes de que los muggles comenzaran a aparecer.",[destruida in English],[English translation]
155,detrs,"Sus ojos azules eran claros, brillantes y centelleaban detrs de unas gafas de cristales de media luna.",[detrs in English],[English translation]
156,diagrama,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.,[diagrama in English],[English translation]
157,dientes,"Tunante, dijo entre dientes el seor Dursley mientras sala de la casa.",[dientes in English],[English translation]
158,difcil,"Pese a que las lechuzas habitualmente cazan durante la noche y es muy difcil verlas a la luz del da, se han producido cientos de avisos sobre el vuelo de estas aves en todas direcciones, desde la salida del sol.",[difcil in English],[English translation]
159,diminuto,"Perdn gru, mientras el diminuto viejo se tambaleaba y casi caa al suelo.",[diminuto in English],[English translation]
160,direccin,Torci la cabeza en direccin a la ventana del oscuro saln de los Dursley.,[direccin in English],[English translation]
161,direcciones,"Pese a que las lechuzas habitualmente cazan durante la noche y es muy difcil verlas a la luz del da, se han producido cientos de avisos sobre el vuelo de estas aves en todas direcciones, desde la salida del sol.",[direcciones in English],[English translation]
162,director,"El seor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.",[director in English],[English translation]
163,disgustada,Pareca claramente disgustada.,[disgustada in English],[English translation]
164,disgustado,No pareca disgustado por el empujn.,[disgustado in English],[English translation]
165,distinta,No podra encontrar a gente ms distinta de nosotros.,[distinta in English],[English translation]
166,djalo,"Bueno, djalo aqu, Hagrid, es mejor que terminemos con esto.",[djalo in English],[English translation]
167,dnut,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[dnut in English],[English translation]
168,doble,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[doble in English],[English translation]
169,docena,Debo de haber pasado por una docena de celebraciones y fiestas en mi camino hasta aqu.,[docena in English],[English translation]
170,dormida,"La seora Dursley se qued dormida rpidamente, pero el seor Dursley permaneci despierto, con todo aquello dando vueltas por su mente.",[dormida in English],[English translation]
171,dormido,"Su ltimo y consolador pensamiento antes de quedarse dormido fue que, aunque los Potter estuvieran implicados en los sucesos, no haba razn para que se acercaran a l y a la seora Dursley.",[dormido in English],[English translation]
172,dormitorio,"Mientras la seora Dursley estaba en el cuarto de bao, el seor Dursley se acerc lentamente hasta la ventana del dormitorio y escudri el jardn delantero.",[dormitorio in English],[English translation]
173,dulces,Es una clase de dulces de los muggles que me gusta mucho.,[dulces in English],[English translation]
174,dura,"La profesora McGonagall le lanz una mirada dura, antes de hablar.",[dura in English],[English translation]
175,ech,Se apresur a cruzar la calle y ech a correr hasta su oficina.,[ech in English],[English translation]
176,edad,"En lugar de eso, dijo, tratando de parecer despreocupado: El hijo de ellos debe de tener la edad de Dudley, no?",[edad in English],[English translation]
177,edificio,"Pero de todos modos, aquella gente de la capa Aquella tarde le cost concentrarse en los taladros, y cuando dej el edificio, a las cinco en punto, estaba todava tan preocupado que, sin darse cuenta, choc con un hombre que estaba en la puerta.",[edificio in English],[English translation]
178,embotellamiento,"Mientras esperaba en el habitual embotellamiento matutino, no pudo dejar de advertir una gran cantidad de gente vestida de forma extraa.",[embotellamiento in English],[English translation]
179,empresa,"El seor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.",[empresa in English],[English translation]
180,empujn,No pareca disgustado por el empujn.,[empujn in English],[English translation]
181,encendedor,Pareca un encendedor de plata.,[encendedor in English],[English translation]
182,encendi,"Lo abri, lo sostuvo alto en el aire y lo encendi.",[encendi in English],[English translation]
183,encontrado,"Cuando entr en el camino del nmero 4, lo primero que vio (y eso no mejor su humor) fue el gato atigrado que se haba encontrado por la maana.",[encontrado in English],[English translation]
184,enfadada,"Como haba esperado, la seora Dursley pareci molesta y enfadada.",[enfadada in English],[English translation]
185,enfadado,Al pasar los mir enfadado.,[enfadado in English],[English translation]
186,enormes,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[enormes in English],[English translation]
187,envuelto,En sus enormes brazos musculosos sostena un bulto envuelto en mantas.,[envuelto in English],[English translation]
188,equivocado,"Los Potter saban muy bien lo que l y Petunia pensaban de ellos y de los de su clase No vea cmo a l y a Petunia podran mezclarlos en algo que tuviera que ver (bostez y se dio la vuelta) No, no podra afectarlos a ellos Qu equivocado estaba!",[equivocado in English],[English translation]
189,escalera,"Y ese hijo que tienen Lo vi dando patadas a su madre mientras suban por la escalera, pidiendo caramelos a gritos.",[escalera in English],[English translation]
190,escaleras,Tambin pudo ver el bulto de mantas de las escaleras de la casa nmero 4.,[escaleras in English],[English translation]
191,escondi,"Dej suavemente a Harry en el umbral, sac la carta de su capa, la escondi entre las mantas del nio y luego volvi con los otros dos.",[escondi in English],[English translation]
192,escondido,"De pronto observ la capa del profesor, como si pensara que poda tener escondido a Harry.",[escondido in English],[English translation]
193,espalda,"Lily y James no puedo creerlo No quiero creerlo Oh, Albus Dumbledore se acerc y le dio una palmada en la espalda.",[espalda in English],[English translation]
194,espaldas,"El seor Dursley siempre se sentaba de espaldas a la ventana, en su oficina del noveno piso.",[espaldas in English],[English translation]
195,espantosa,"Oh, s dijo el seor Dursley, con una espantosa sensacin de abatimiento.",[espantosa in English],[English translation]
196,especial,Potter no era un apellido tan especial.,[especial in English],[English translation]
197,espejo,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[espejo in English],[English translation]
