Number,French Word,French Sentence,English Word,English Sentence
43,dado,"Yo crea que seran un poquito ms prudentes, pero no Hasta los muggles se han dado cuenta de que algo sucede!",[dado in English],[English translation]
44,debe,"En lugar de eso, dijo, tratando de parecer despreocupado: El hijo de ellos debe de tener la edad de Dudley, no?",[debe in English],[English translation]
45,decir,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[decir in English],[English translation]
46,del,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[del in English],[English translation]
47,demasiado,Slo porque usted es demasiado bueno noble para utilizarlos.,[demasiado in English],[English translation]
48,desde,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[desde in English],[English translation]
49,dicen,Sabe lo que todos dicen sobre la forma en que desapareci?,[dicen in English],[English translation]
50,diferente,Pero usted es diferente.,[diferente in English],[English translation]
51,dijo,"Tunante, dijo entre dientes el seor Dursley mientras sala de la casa.",[dijo in English],[English translation]
52,dio,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[dio in English],[English translation]
53,doce,"Doce veces hizo funcionar el Apagador, hasta que las nicas luces que quedaron en toda la calle fueron dos alfileres lejanos: los ojos del gato que lo observaba.",[doce in English],[English translation]
54,donde,"Albus Dumbledore no pareca darse cuenta de que haba llegado a una calle en donde todo lo suyo, desde su nombre hasta sus botas, era mal recibido.",[donde in English],[English translation]
55,dos,El seor Dursley se enfureci al darse cuenta de que dos de los desconocidos no eran jvenes.,[dos in English],[English translation]
56,drive,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[drive in English],[English translation]
57,durante,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[durante in English],[English translation]
58,ella,"Despus de todo, normalmente ellos fingan que ella no tena hermana.",[ella in English],[English translation]
59,ellas,"Entre ellas se vea un nio pequeo, profundamente dormido.",[ellas in English],[English translation]
60,ellos,"Los Dursley tenan un hijo pequeo llamado Dudley, y para ellos no haba un nio mejor que l.",[ellos in English],[English translation]
61,embargo,"Sin embargo, el seor Dursley tuvo una maana perfectamente normal, sin lechuzas.",[embargo in English],[English translation]
62,encima,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[encima in English],[English translation]
63,encontr,Encontr en su bolsillo interior lo que estaba buscando.,[encontr in English],[English translation]
64,enfrente,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[enfrente in English],[English translation]
65,entonces,Pero entonces se le ocurri que deba de ser alguna tontera publicitaria; era evidente que aquella gente haca una colecta para algo.,[entonces in English],[English translation]
66,era,"El seor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.",[era in English],[English translation]
67,eran,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[eran in English],[English translation]
68,esa,"Toda esa tontera de Quien-usted-sabe Durante once aos intent persuadir a la gente para que lo llamara por su verdadero nombre, Voldemort.",[esa in English],[English translation]
69,escribirn,Escribirn libros sobre Harry Todos los nios del mundo conocern su nombre.,[escribirn in English],[English translation]
70,ese,"S que usted no tiene ese problema observ la profesora McGonagall, entre la exasperacin y la admiracin.",[ese in English],[English translation]
71,esmeralda,"Vamos, uno era incluso mayor que l, y vesta una capa verde esmeralda!",[esmeralda in English],[English translation]
72,eso,"S, tena que ser eso.",[eso in English],[English translation]
73,estaba,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[estaba in English],[English translation]
74,estaban,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[estaban in English],[English translation]
75,estado,En qu haba estado pensando?,[estado in English],[English translation]
76,estar,No estoy diciendo que su corazn no est donde debe estar dijo a regaadientes la profesora McGonagall.,[estar in English],[English translation]
77,estas,"Pese a que las lechuzas habitualmente cazan durante la noche y es muy difcil verlas a la luz del da, se han producido cientos de avisos sobre el vuelo de estas aves en todas direcciones, desde la salida del sol.",[estas in English],[English translation]
78,este,Hasta los muggles como usted deberan celebrar este feliz da!,[este in English],[English translation]
79,estoy,"S, estoy de acuerdo.",[estoy in English],[English translation]
80,estuvo,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[estuvo in English],[English translation]
81,fin,"Sera extraordinario que el mismo da en que Quien-usted-sabe parece haber desaparecido al fin, los muggles lo descubran todo sobre nosotros.",[fin in English],[English translation]
82,finga,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[finga in English],[English translation]
83,fra,"Pareca que la profesora McGonagall haba llegado al punto que ms deseosa estaba por discutir, la verdadera razn por la que haba esperado todo el da en una fra pared pues, ni como gato ni como mujer, haba mirado nunca a Dumbledore con tal intensidad como lo haca en aquel momento.",[fra in English],[English translation]
84,fue,"Cuando entr en el camino del nmero 4, lo primero que vio (y eso no mejor su humor) fue el gato atigrado que se haba encontrado por la maana.",[fue in English],[English translation]
85,fuera,"Y por si fuera poco le haba llamado muggle , no importaba lo que eso fuera.",[fuera in English],[English translation]
86,fueron,Los Dursley se fueron a la cama.,[fueron in English],[English translation]
87,gran,Ninguno vio la gran lechuza parda que pasaba volando por la ventana.,[gran in English],[English translation]
88,grande,"Se poda decir que era demasiado grande para que lo aceptaran y, adems, tan desaliado Cabello negro, largo y revuelto, y una barba que le cubra casi toda la cara.",[grande in English],[English translation]
89,haber,Deba de haber sido una ilusin ptica.,[haber in English],[English translation]
90,hacer,Slo podemos hacer conjeturas dijo Dumbledore.,[hacer in English],[English translation]
91,hacia,"Se volvi hacia los que murmuraban, como si quisiera decirles algo, pero se contuvo.",[hacia in English],[English translation]
92,haciendo,"Se fue haciendo ms fuerte mientras ellos miraban a ambos lados de la calle, buscando alguna luz.",[haciendo in English],[English translation]
93,hagrid,"Pero para Dumbledore deba de tener sentido, porque lo guard y dijo: Hagrid se retrasa.",[hagrid in English],[English translation]
94,han,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[han in English],[English translation]
95,harry,"Los Potter, eso es, eso es lo que he odo S, su hijo, Harry El seor Dursley se qued petrificado.",[harry in English],[English translation]
96,harvey,Podra llamarse Harvey.,[harvey in English],[English translation]
97,hasta,"Estuvo de muy buen humor hasta la hora de la comida, cuando decidi estirar las piernas y dirigirse a la panadera que estaba en la acera de enfrente.",[hasta in English],[English translation]
98,haya,"Como le deca, aunque Quien-usted-sabe se haya ido Mi querida profesora, estoy seguro de que una persona sensata como usted puede llamarlo por su nombre, verdad?",[haya in English],[English translation]
99,hecho,"Si no lo hubiera hecho as, aquella maana le habra costado concentrarse en los taladros.",[hecho in English],[English translation]
100,hemos,Hemos tenido tan poco que celebrar durante once aos Ya lo s respondi irritada la profesora McGonagall.,[hemos in English],[English translation]
101,hizo,Hizo llamadas telefnicas importantes y volvi a gritar.,[hizo in English],[English translation]
102,hoy,"Al contrario, su rostro se ilumin con una amplia sonrisa, mientras deca con una voz tan chillona que llamaba la atencin de los que pasaban: No se disculpe, mi querido seor, porque hoy nada puede molestarme!",[hoy in English],[English translation]
103,incluso,"Vamos, uno era incluso mayor que l, y vesta una capa verde esmeralda!",[incluso in English],[English translation]
104,james,"El rumor es que Lily y James Potter estn estn bueno, que estn muertos.",[james in English],[English translation]
105,kent,"Telespectadores de lugares tan apartados como Kent, Yorkshire y Dundee han telefoneado para decirme que en lugar de la lluvia que promet ayer tuvieron un chaparrn de estrellas fugaces!",[kent in English],[English translation]
106,lado,Haba olvidado a la gente con capa hasta que pas cerca de un grupo que estaba al lado de la panadera.,[lado in English],[English translation]
107,largo,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[largo in English],[English translation]
108,las,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[las in English],[English translation]
109,lleg,"El trfico avanz y, unos minutos ms tarde, el seor Dursley lleg al aparcamiento de Grunnings, pensando nuevamente en los taladros.",[lleg in English],[English translation]
110,los,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[los in English],[English translation]
111,luego,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[luego in English],[English translation]
112,mal,"Albus Dumbledore no pareca darse cuenta de que haba llegado a una calle en donde todo lo suyo, desde su nombre hasta sus botas, era mal recibido.",[mal in English],[English translation]
113,manera,"Lo hizo funcionar una vez y todas las luces de la calle se encendieron, de manera que Privet Drive se ilumin con un resplandor anaranjado, y pudo ver a un gato atigrado que se escabulla por una esquina, en el otro extremo de la calle.",[manera in English],[English translation]
114,mat,Despus de todo lo que hizo de toda la gente que mat no pudo matar a un nio?,[mat in English],[English translation]
115,mayor,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[mayor in English],[English translation]
116,mcgonagall,"Me alegro de verla aqu, profesora McGonagall.",[mcgonagall in English],[English translation]
117,mcguffin,"Y ahora, de nuevo con Jim McGuffin y el pronstico del tiempo.",[mcguffin in English],[English translation]
118,mejor,"Los Dursley tenan un hijo pequeo llamado Dudley, y para ellos no haba un nio mejor que l.",[mejor in English],[English translation]
119,mencin,"No tena sentido preocupar a la seora Dursley, siempre se trastornaba mucho ante cualquier mencin de su hermana.",[mencin in English],[English translation]
120,menos,Menos mal que est oscuro.,[menos in English],[English translation]
121,mientras,"El seor Dursley canturreaba mientras se pona su corbata ms sosa para ir al trabajo, y la seora Dursley parloteaba alegremente mientras instalaba al ruidoso Dudley en la silla alta.",[mientras in English],[English translation]
122,mis,No me he ruborizado tanto desde que la seora Pomfrey me dijo que le gustaban mis nuevas orejeras.,[mis in English],[English translation]
123,mismo,"Estaba seguro de que era el mismo, pues tena unas lneas idnticas alrededor de los ojos.",[mismo in English],[English translation]
124,moo,Su cabello negro estaba recogido en un moo.,[moo in English],[English translation]
125,muchas,"No, muchas gracias respondi con frialdad la profesora McGonagall, como si considerara que aqul no era un momento apropiado para caramelos.",[muchas in English],[English translation]
126,mucho,"No tena sentido preocupar a la seora Dursley, siempre se trastornaba mucho ante cualquier mencin de su hermana.",[mucho in English],[English translation]
127,muy,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[muy in English],[English translation]
128,nada,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[nada in English],[English translation]
129,nadie,"Nadie sabe por qu, ni cmo, pero dicen que como no pudo matarlo, el poder de Voldemort se rompi y que sa es la razn por la que se ha ido.",[nadie in English],[English translation]
130,nosotros,"Sera extraordinario que el mismo da en que Quien-usted-sabe parece haber desaparecido al fin, los muggles lo descubran todo sobre nosotros.",[nosotros in English],[English translation]
131,nueva,Supuso que deba de ser una moda nueva.,[nueva in English],[English translation]
132,nuevas,No me he ruborizado tanto desde que la seora Pomfrey me dijo que le gustaban mis nuevas orejeras.,[nuevas in English],[English translation]
133,nunca,"Saban que los Potter tambin tenan un hijo pequeo, pero nunca lo haban visto.",[nunca in English],[English translation]
134,ocho,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[ocho in English],[English translation]
135,once,Hemos tenido tan poco que celebrar durante once aos Ya lo s respondi irritada la profesora McGonagall.,[once in English],[English translation]
136,otra,El nio era otra buena razn para mantener alejados a los Potter: no queran que Dudley se juntara con un nio como aqul.,[otra in English],[English translation]
137,otro,"Dumbledore, sin embargo, estaba eligiendo otro caramelo y no le respondi.",[otro in English],[English translation]
138,otros,"Dej suavemente a Harry en el umbral, sac la carta de su capa, la escondi entre las mantas del nio y luego volvi con los otros dos.",[otros in English],[English translation]
139,para,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[para in English],[English translation]
140,parece,"Sera extraordinario que el mismo da en que Quien-usted-sabe parece haber desaparecido al fin, los muggles lo descubran todo sobre nosotros.",[parece in English],[English translation]
141,parte,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[parte in English],[English translation]
142,pasada,Lo que estn diciendo insisti es que la pasada noche Voldemort apareci en el valle de Godric.,[pasada in English],[English translation]
143,pasado,Debo de haber pasado por una docena de celebraciones y fiestas en mi camino hasta aqu.,[pasado in English],[English translation]
144,permaneca,La calle permaneca silenciosa bajo un cielo de color tinta.,[permaneca in English],[English translation]
145,pero,"Los Dursley tenan todo lo que queran, pero tambin tenan un secreto, y su mayor temor era que lo descubriesen: no habran soportado que se supiera lo de los Potter.",[pero in English],[English translation]
146,pocas,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[pocas in English],[English translation]
147,poco,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[poco in English],[English translation]
148,podemos,Slo podemos hacer conjeturas dijo Dumbledore.,[podemos in English],[English translation]
149,poder,"Nadie sabe por qu, ni cmo, pero dicen que como no pudo matarlo, el poder de Voldemort se rompi y que sa es la razn por la que se ha ido.",[poder in English],[English translation]
150,poner,"Hagrid se sec las lgrimas con la manga de la chaqueta, se subi a la moto y le dio una patada a la palanca para poner el motor en marcha.",[poner in English],[English translation]
151,por,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[por in English],[English translation]
152,porque,"Eran las ltimas personas que se esperara encontrar relacionadas con algo extrao o misterioso, porque no estaban para tales tonteras.",[porque in English],[English translation]
153,potter,"Los Dursley tenan todo lo que queran, pero tambin tenan un secreto, y su mayor temor era que lo descubriesen: no habran soportado que se supiera lo de los Potter.",[potter in English],[English translation]
154,primer,Al llegar a la esquina percibi el primer indicio de que suceda algo raro: un gato estaba mirando un plano de la ciudad.,[primer in English],[English translation]
155,primero,"Cuando entr en el camino del nmero 4, lo primero que vio (y eso no mejor su humor) fue el gato atigrado que se haba encontrado por la maana.",[primero in English],[English translation]
156,privet,"E CAPTULO UNO El nio que vivi L seor y la seora Dursley, que vivan en el nmero 4 de Privet Drive, estaban orgullosos de decir que eran muy normales, afortunadamente.",[privet in English],[English translation]
157,pronto,"Estaba muy ocupado revolviendo en su capa, buscando algo, pero pareci darse cuenta de que lo observaban porque, de pronto, mir al gato, que todava lo contemplaba con fijeza desde la otra punta de la calle.",[pronto in English],[English translation]
158,pudo,"A las ocho y media, el seor Dursley cogi su maletn, bes a la seora Dursley en la mejilla y trat de despedirse de Dudley con un beso, aunque no pudo, ya que el nio tena un berrinche y estaba arrojando los cereales contra las paredes.",[pudo in English],[English translation]
159,puede,"Al contrario, su rostro se ilumin con una amplia sonrisa, mientras deca con una voz tan chillona que llamaba la atencin de los que pasaban: No se disculpe, mi querido seor, porque hoy nada puede molestarme!",[puede in English],[English translation]
160,pueden,Las cicatrices pueden ser tiles.,[pueden in English],[English translation]
161,puedo,Pero puedo prometerles una noche lluviosa.,[puedo in English],[English translation]
162,pues,"Estaba seguro de que era el mismo, pues tena unas lneas idnticas alrededor de los ojos.",[pues in English],[English translation]
163,quien,"Hay que alegrarse, porque Quien-usted-sabe finalmente se ha ido!",[quien in English],[English translation]
164,sabe,"Hay que alegrarse, porque Quien-usted-sabe finalmente se ha ido!",[sabe in English],[English translation]
165,saben,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[saben in English],[English translation]
166,saber,Famoso antes de saber hablar y andar!,[saber in English],[English translation]
167,sabes,"Bueno, pens quiz que podra tener algo que ver con ya sabes su grupo.",[sabes in English],[English translation]
168,sali,Sali en las noticias.,[sali in English],[English translation]
169,sea,Sus tos podrn explicrselo todo cuando sea mayor.,[sea in English],[English translation]
170,segundo,"Durante un segundo, el seor Dursley no se dio cuenta de lo que haba visto, pero luego volvi la cabeza para mirar otra vez.",[segundo in English],[English translation]
171,ser,"Mientras el seor Dursley daba la vuelta a la esquina y suba por la calle, observ al gato por el espejo retrovisor: en aquel momento el felino estaba leyendo el rtulo que deca Privet Drive (no poda ser, los gatos no saben leer los rtulos ni los planos).",[ser in English],[English translation]
172,sido,Deba de haber sido una ilusin ptica.,[sido in English],[English translation]
173,siempre,"El seor Dursley siempre se sentaba de espaldas a la ventana, en su oficina del noveno piso.",[siempre in English],[English translation]
174,sigui,"Una mano pequea se cerr sobre la carta y sigui durmiendo, sin saber que era famoso, sin saber que en unas pocas horas le hara despertar el grito de la seora Dursley, cuando abriera la puerta principal para sacar las botellas de leche.",[sigui in English],[English translation]
175,siguiente,Lo encendi otra vez y la siguiente lmpara qued a oscuras.,[siguiente in English],[English translation]
176,sobre,Tamborile con los dedos sobre el volante y su mirada se pos en unos extraos que estaban cerca de l.,[sobre in English],[English translation]
177,sobrevivi,"Es asombroso entre todas las cosas que podran detenerlo Pero cmo sobrevivi Harry, en nombre del cielo?",[sobrevivi in English],[English translation]
178,supuesto,"La profesora McGonagall abri la boca, cambi de idea, trag y luego dijo: S s, tiene razn, por supuesto.",[supuesto in English],[English translation]
179,sus,"La seora Dursley era delgada, rubia y tena un cuello casi el doble de largo de lo habitual, lo que le resultaba muy til, ya que pasaba la mayor parte del tiempo estirndolo por encima de la valla de los jardines para espiar a sus vecinos.",[sus in English],[English translation]
180,suyas,"Se apresur a subir a su coche y a dirigirse hacia su casa, deseando que todo fueran imaginaciones suyas (algo que nunca haba deseado antes, porque no aprobaba la imaginacin).",[suyas in English],[English translation]
181,suyo,"Albus Dumbledore no pareca darse cuenta de que haba llegado a una calle en donde todo lo suyo, desde su nombre hasta sus botas, era mal recibido.",[suyo in English],[English translation]
182,tacn,"Llevaba una tnica larga, una capa color prpura que barra el suelo y botas con tacn alto y hebillas.",[tacn in English],[English translation]
183,tal,Tal vez la gente ha comenzado a celebrar antes de tiempo la Noche de las Hogueras.,[tal in English],[English translation]
184,tamborile,Tamborile con los dedos sobre el volante y su mirada se pos en unos extraos que estaban cerca de l.,[tamborile in English],[English translation]
185,tampoco,"Ni que iba a pasar las prximas semanas pinchado y pellizcado por su primo Dudley No poda saber tampoco que, en aquel mismo momento, las personas que se reunan en secreto por todo el pas estaban levantando sus copas y diciendo, con voces quedas: Por Harry Potter el nio que vivi!",[tampoco in English],[English translation]
186,tan,Potter no era un apellido tan especial.,[tan in English],[English translation]
187,tanto,"La seora Potter era hermana de la seora Dursley, pero no se vean desde haca aos; tanto era as que la seora Dursley finga que no tena hermana, porque su hermana y su marido, un completo intil, eran lo ms opuesto a los Dursley que se pudiera imaginar.",[tanto in English],[English translation]
188,tarde,"El trfico avanz y, unos minutos ms tarde, el seor Dursley lleg al aparcamiento de Grunnings, pensando nuevamente en los taladros.",[tarde in English],[English translation]
189,tener,"Bueno, pens quiz que podra tener algo que ver con ya sabes su grupo.",[tener in English],[English translation]
190,tengo,Yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de Londres.,[tengo in English],[English translation]
191,tenido,Si l hubiera tenido una hermana as!,[tenido in English],[English translation]
192,tiene,"S que usted no tiene ese problema observ la profesora McGonagall, entre la exasperacin y la admiracin.",[tiene in English],[English translation]
193,tienen,"Y ese hijo que tienen Lo vi dando patadas a su madre mientras suban por la escalera, pidiendo caramelos a gritos.",[tienen in English],[English translation]
194,toda,Pero nada haba en aquel nublado cielo que sugiriera los acontecimientos extraos y misteriosos que poco despus tendran lugar en toda la regin.,[toda in English],[English translation]
195,todas,"Y, por ltimo, observadores de pjaros de todas partes han informado de que hoy las lechuzas de la nacin han tenido una conducta poco habitual.",[todas in English],[English translation]
196,todo,"Los Dursley tenan todo lo que queran, pero tambin tenan un secreto, y su mayor temor era que lo descubriesen: no habran soportado que se supiera lo de los Potter.",[todo in English],[English translation]
197,todos,"Pero de todos modos, aquella gente de la capa Aquella tarde le cost concentrarse en los taladros, y cuando dej el edificio, a las cinco en punto, estaba todava tan preocupado que, sin darse cuenta, choc con un hombre que estaba en la puerta.",[todos in English],[English translation]
198,tras,"No vio las lechuzas que volaban en pleno da, aunque en la calle s que las vean y las sealaban con la boca abierta, mientras las aves desfilaban una tras otra.",[tras in English],[English translation]
199,tuvo,"Sin embargo, el seor Dursley tuvo una maana perfectamente normal, sin lechuzas.",[tuvo in English],[English translation]
200,una,"El seor Dursley era el director de una empresa llamada Grunnings, que fabricaba taladros.",[una in English],[English translation]
201,unas,"Cuando regresaba con un dnut gigante en una bolsa de papel, alcanz a or unas pocas palabras de su conversacin.",[unas in English],[English translation]
202,unos,Tamborile con los dedos sobre el volante y su mirada se pos en unos extraos que estaban cerca de l.,[unos in English],[English translation]
203,usted,"Hay que alegrarse, porque Quien-usted-sabe finalmente se ha ido!",[usted in English],[English translation]
